# R, I, Z0, Z1, Z0Z1, X0X1, Y0Y1
2.000000000000000111e-01 2.848899999999999988e+00 5.677999999999999714e-01 -1.450800000000000090e+00 6.798999999999999488e-01 7.910000000000000364e-02 7.910000000000000364e-02
2.999999999999999889e-01 1.725200000000000067e+00 5.214999999999999636e-01 -1.145799999999999930e+00 6.631000000000000227e-01 8.060000000000000497e-02 8.060000000000000497e-02
4.000000000000000222e-01 1.118200000000000083e+00 4.753999999999999893e-01 -9.144999999999999796e-01 6.438000000000000389e-01 8.250000000000000389e-02 8.250000000000000389e-02
5.000000000000000000e-01 7.380999999999999783e-01 4.324999999999999956e-01 -7.355000000000000426e-01 6.232999999999999652e-01 8.459999999999999465e-02 8.459999999999999465e-02
5.999999999999999778e-01 4.808000000000000052e-01 3.936999999999999944e-01 -5.949999999999999734e-01 6.025000000000000355e-01 8.699999999999999400e-02 8.699999999999999400e-02
6.999999999999999556e-01 2.975999999999999757e-01 3.593000000000000083e-01 -4.825999999999999734e-01 5.817999999999999838e-01 8.959999999999999909e-02 8.959999999999999909e-02
8.000000000000000444e-01 1.625999999999999945e-01 3.287999999999999812e-01 -3.915000000000000147e-01 5.615999999999999881e-01 9.249999999999999889e-02 9.249999999999999889e-02
9.000000000000000222e-01 6.090000000000000274e-02 3.018000000000000127e-01 -3.168000000000000260e-01 5.421000000000000263e-01 9.539999999999999869e-02 9.539999999999999869e-02
1.000000000000000000e+00 -1.720000000000000001e-02 2.778999999999999804e-01 -2.550000000000000044e-01 5.234999999999999654e-01 9.859999999999999321e-02 9.859999999999999321e-02
1.100000000000000089e+00 -7.779999999999999416e-02 2.565000000000000058e-01 -2.036000000000000032e-01 5.059000000000000163e-01 1.018000000000000016e-01 1.018000000000000016e-01
1.199999999999999956e+00 -1.252999999999999947e-01 2.373999999999999999e-01 -1.602999999999999980e-01 4.892000000000000237e-01 1.049999999999999961e-01 1.049999999999999961e-01
1.300000000000000044e+00 -1.628999999999999893e-01 2.202999999999999958e-01 -1.237999999999999934e-01 4.734999999999999765e-01 1.082999999999999935e-01 1.082999999999999935e-01
1.399999999999999911e+00 -1.927000000000000102e-01 2.048000000000000098e-01 -9.289999999999999647e-02 4.587999999999999856e-01 1.116000000000000048e-01 1.116000000000000048e-01
1.500000000000000000e+00 -2.164999999999999980e-01 1.907999999999999974e-01 -6.660000000000000642e-02 4.450999999999999956e-01 1.149000000000000021e-01 1.149000000000000021e-01
1.600000000000000089e+00 -2.354999999999999871e-01 1.781999999999999973e-01 -4.420000000000000318e-02 4.323000000000000176e-01 1.180999999999999966e-01 1.180999999999999966e-01
1.699999999999999956e+00 -2.508000000000000229e-01 1.666999999999999871e-01 -2.510000000000000078e-02 4.203999999999999959e-01 1.210999999999999993e-01 1.210999999999999993e-01
1.800000000000000044e+00 -2.631999999999999895e-01 1.565000000000000002e-01 -8.800000000000000530e-03 4.093999999999999861e-01 1.241000000000000020e-01 1.241000000000000020e-01
1.899999999999999911e+00 -2.731000000000000094e-01 1.471999999999999975e-01 5.199999999999999761e-03 3.991999999999999993e-01 1.270000000000000018e-01 1.270000000000000018e-01
2.000000000000000000e+00 -2.812000000000000055e-01 1.390000000000000124e-01 1.710000000000000062e-02 3.897999999999999798e-01 1.297000000000000097e-01 1.297000000000000097e-01
2.100000000000000089e+00 -2.878999999999999893e-01 1.315999999999999948e-01 2.719999999999999848e-02 3.810999999999999943e-01 1.323000000000000009e-01 1.323000000000000009e-01
2.200000000000000178e+00 -2.933999999999999941e-01 1.250999999999999890e-01 3.590000000000000135e-02 3.729999999999999982e-01 1.346999999999999864e-01 1.346999999999999864e-01
2.299999999999999822e+00 -2.979999999999999871e-01 1.193000000000000033e-01 4.320000000000000229e-02 3.654999999999999916e-01 1.370000000000000107e-01 1.370000000000000107e-01
2.399999999999999911e+00 -3.018000000000000127e-01 1.141999999999999960e-01 4.950000000000000233e-02 3.585999999999999743e-01 1.391999999999999904e-01 1.391999999999999904e-01
2.500000000000000000e+00 -3.050999999999999823e-01 1.097999999999999948e-01 5.489999999999999741e-02 3.521000000000000241e-01 1.411999999999999922e-01 1.411999999999999922e-01
2.600000000000000089e+00 -3.079000000000000070e-01 1.058999999999999941e-01 5.940000000000000141e-02 3.461000000000000187e-01 1.431999999999999940e-01 1.431999999999999940e-01
